Established,Kingdom,Phylum,Class,Order,Family,Genus,Label
0.128314800574364,Bacteria,NA,NA,NA,NA,NA,"Phylum NA, Genus NA"
0.126889077194139,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,"Class Campylobacteria, Genus Sulfurovum"
0.0915312327532188,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,"Class Campylobacteria, Genus Sulfurimonas"
0.0617336751660682,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Thioreductoraceae,Thioreductor,"Class Campylobacteria, Genus Thioreductor"
0.0441973217696273,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,"Class Bacteroidia, Order Bacteroidales"
0.0325064143794937,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,"Class Bacteroidia, Genus NA"
0.0317935553624262,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,"Class Desulfobulbia, Genus Desulfobulbus"
0.0303678370880176,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriales Incertae Sedis,Ichthyobacterium,"Class Bacteroidia, Genus Ichthyobacterium"
0.0303678364873333,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,BD2-3,NA,"Class Lentisphaeria, Family BD2-3"
0.0289421164108716,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,NA,"Class Bacteroidia, Family Marinifilaceae"
0.0262332468840204,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes BD2-2,NA,"Class Bacteroidia, Family Bacteroidetes BD2-2"
0.0252352410885127,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,NA,"Class Campylobacteria, Family Arcobacteraceae"
0.0239520946415449,Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes VC2.1 Bac22,NA,NA,"Class Bacteroidia, Order Bacteroidetes VC2.1 Bac22"
0.0219560848525824,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,NA,NA,"Class Campylobacteria, Order Campylobacterales"
0.0213858005462407,Bacteria,Patescibacteria,Gracilibacteria,JGI 0000069-P22,NA,NA,"Class Gracilibacteria, Order JGI 0000069-P22"
