Established,Kingdom,Phylum,Class,Order,Family,Genus,Label
0.11582696829465,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,"Class Campylobacteria, Genus Sulfurovum"
0.114379669090825,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Cocleimonas,"Class Gammaproteobacteria, Genus Cocleimonas"
0.0826533779764156,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,"Class Campylobacteria, Genus Sulfurimonas"
0.0677325278319683,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,NA,"Class Gammaproteobacteria, Family Thiotrichaceae"
0.0635414482458734,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,"Class Gammaproteobacteria, Genus NA"
0.0333481752436726,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes BD2-2,NA,"Class Bacteroidia, Family Bacteroidetes BD2-2"
0.0309842145865812,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,NA,"Class Bacteroidia, Family Lentimicrobiaceae"
0.0298470818241164,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,NA,NA,"Class Campylobacteria, Order Campylobacterales"
0.0276170209867187,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ottowia,"Class Gammaproteobacteria, Genus Ottowia"
0.0261965341557088,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,NA,"Class Bacteroidia, Family Marinifilaceae"
0.0230884718346693,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga,"Class Bacteroidia, Genus Carboxylicivirga"
