TAG,CV88_Count,LVP4_Count
tag1,0,0
tag2,878,0
tag3,457,0
tag4,444,0
tag5,426,0
tag6,390,0
tag7,352,0
tag8,293,0
tag9,278,0
tag10,268,0
tag11,245,0
tag12,232,0
tag13,216,0
tag14,204,0
tag15,189,0
tag16,182,0
tag17,176,0
tag18,153,0
tag19,151,0
tag20,149,0
tag21,142,0
tag22,142,0
tag23,137,0
tag24,137,0
tag25,136,0
tag26,130,0
tag27,128,0
tag28,127,0
tag29,118,0
tag30,118,0
tag31,115,0
tag32,115,0
tag33,114,0
tag34,112,0
tag35,96,0
tag36,93,0
tag37,92,0
tag38,87,0
tag39,84,0
tag40,83,0
tag41,83,0
tag42,82,0
tag43,82,0
tag44,80,0
tag45,78,0
tag46,75,0
tag47,74,0
tag48,73,0
tag49,72,0
tag50,68,0
tag51,68,0
tag52,68,0
tag53,68,0
tag54,66,0
tag55,66,0
tag56,64,0
tag57,64,0
tag58,63,0
tag59,63,0
tag60,62,0
tag61,62,0
tag62,60,0
tag63,59,0
tag64,58,0
tag65,55,0
tag66,55,0
tag67,55,0
tag68,55,0
tag69,55,0
tag70,55,0
tag71,54,0
tag72,54,0
tag73,52,0
tag74,51,0
tag75,51,0
tag76,48,0
tag77,48,0
tag78,48,0
tag79,47,0
tag80,46,0
tag81,46,0
tag82,45,0
tag83,45,0
tag84,43,0
tag85,42,0
tag86,41,0
tag87,41,0
tag88,41,0
tag89,41,0
tag90,40,0
tag91,40,0
tag92,39,0
tag93,39,0
tag94,39,0
tag95,39,0
tag96,36,0
tag97,36,0
tag98,35,0
tag99,35,0
tag100,35,0
tag101,35,0
tag102,34,0
tag103,34,0
tag104,34,0
tag105,33,0
tag106,33,0
tag107,33,0
tag108,32,0
tag109,32,0
tag110,32,0
tag111,30,0
tag112,30,0
tag113,30,0
tag114,29,0
tag115,29,0
tag116,28,0
tag117,28,0
tag118,28,0
tag119,28,0
tag120,28,0
tag121,26,0
tag122,26,0
tag123,25,0
tag124,25,0
tag125,25,0
tag126,24,0
tag127,24,0
tag128,24,0
tag129,24,0
tag130,23,0
tag131,23,0
tag132,23,0
tag133,23,0
tag134,22,0
tag135,22,0
tag136,22,0
tag137,22,0
tag138,21,0
tag139,20,0
tag140,20,0
tag141,20,0
tag142,20,0
tag143,20,0
tag144,20,0
tag145,20,0
tag146,19,0
tag147,19,0
tag148,19,0
tag149,19,0
tag150,19,0
tag151,19,0
tag152,19,0
tag153,19,0
tag154,19,0
tag155,19,0
tag156,18,0
tag157,18,0
tag158,18,0
tag159,18,0
tag160,18,0
tag161,18,0
tag162,17,0
tag163,17,0
tag164,17,0
tag165,17,0
tag166,17,0
tag167,17,0
tag168,17,0
tag169,17,0
tag170,17,0
tag171,17,0
tag172,17,0
tag173,17,0
tag174,17,0
tag175,16,0
tag176,16,0
tag177,16,0
tag178,16,0
tag179,16,0
tag180,16,0
tag181,15,0
tag182,15,0
tag183,15,0
tag184,15,0
tag185,15,0
tag186,15,0
tag187,15,0
tag188,14,0
tag189,14,0
tag190,14,0
tag191,14,0
tag192,14,0
tag193,14,0
tag194,14,0
tag195,14,0
tag196,14,0
tag197,14,0
tag198,14,0
tag199,14,0
tag200,14,0
tag201,14,0
tag202,14,0
tag203,14,0
tag204,14,0
tag205,13,0
tag206,13,0
tag207,13,0
tag208,13,0
tag209,13,0
tag210,13,0
tag211,13,0
tag212,13,0
tag213,13,0
tag214,12,0
tag215,12,0
tag216,12,0
tag217,12,0
tag218,12,0
tag219,12,0
tag220,12,0
tag221,12,0
tag222,11,0
tag223,11,0
tag224,11,0
tag225,11,0
tag226,11,0
tag227,11,0
tag228,11,0
tag229,11,0
tag230,11,0
tag231,11,0
tag232,11,0
tag233,11,0
tag234,11,0
tag235,11,0
tag236,10,0
tag237,10,0
tag238,10,0
tag239,10,0
tag240,10,0
tag241,10,0
tag242,10,0
tag243,10,0
tag244,10,0
tag245,10,0
tag246,10,0
tag247,10,0
tag248,10,0
tag249,10,0
tag250,10,0
tag251,9,0
tag252,9,0
tag253,9,0
tag254,9,0
tag255,9,0
tag256,9,0
tag257,9,0
tag258,9,0
tag259,9,0
tag260,9,0
tag261,9,0
tag262,9,0
tag263,9,0
tag264,9,0
tag265,9,0
tag266,9,0
tag267,8,0
tag268,8,0
tag269,8,0
tag270,8,0
tag271,8,0
tag272,8,0
tag273,8,0
tag274,8,0
tag275,8,0
tag276,8,0
tag277,8,0
tag278,8,0
tag279,8,0
tag280,8,0
tag281,8,0
tag282,8,0
tag283,8,0
tag284,8,0
tag285,7,0
tag286,7,0
tag287,7,0
tag288,7,0
tag289,7,0
tag290,7,0
tag291,7,0
tag292,7,0
tag293,7,0
tag294,7,0
tag295,7,0
tag296,7,0
tag297,7,0
tag298,7,0
tag299,7,0
tag300,7,0
tag301,7,0
tag302,7,0
tag303,7,0
tag304,7,0
tag305,6,0
tag306,6,0
tag307,6,0
tag308,6,0
tag309,6,0
tag310,6,0
tag311,6,0
tag312,6,0
tag313,6,0
tag314,6,0
tag315,6,0
tag316,6,0
tag317,6,0
tag318,6,0
tag319,6,0
tag320,6,0
tag321,6,0
tag322,6,0
tag323,6,0
tag324,6,0
tag325,6,0
tag326,6,0
tag327,6,0
tag328,6,0
tag329,6,0
tag330,6,0
tag331,6,0
tag332,6,0
tag333,6,0
tag334,6,0
tag335,6,0
tag336,6,0
tag337,6,0
tag338,5,0
tag339,5,0
tag340,5,0
tag341,5,0
tag342,5,0
tag343,5,0
tag344,5,0
tag345,5,0
tag346,5,0
tag347,5,0
tag348,5,0
tag349,5,0
tag350,5,0
tag351,5,0
tag352,5,0
tag353,5,0
tag354,5,0
tag355,5,0
tag356,5,0
tag357,5,0
tag358,5,0
tag359,5,0
tag360,5,0
tag361,5,0
tag362,5,0
tag363,4,0
tag364,4,0
tag365,4,0
tag366,4,0
tag367,4,0
tag368,4,0
tag369,4,0
tag370,4,0
tag371,4,0
tag372,4,0
tag373,4,0
tag374,4,0
tag375,4,0
tag376,4,0
tag377,4,0
tag378,4,0
tag379,4,0
tag380,4,0
tag381,4,0
tag382,4,0
tag383,4,0
tag384,4,0
tag385,4,0
tag386,4,0
tag387,4,0
tag388,4,0
tag389,4,0
tag390,4,0
tag391,4,0
tag392,4,0
tag393,4,0
tag394,4,0
tag395,4,0
tag396,3,0
tag397,3,0
tag398,3,0
tag399,3,0
tag400,3,0
tag401,3,0
tag402,3,0
tag403,3,0
tag404,3,0
