,Sample_ID,gene_categories,tpm.x,Genus,sampleID_num,gene_num,x,value,r,Kingdom,Phylum,Class,Order,Family,Genus
49,lvp4,Hydrogenase_maturation_proteins_hypABCDEF,39.2527263035,Desulfurobacterium,2,13,2,39.2527263035,4.99890604874118,Bacteria,Aquificota,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium
133,lvp4,Hydrogenase_maturation_proteins_hypABCDEF,4.80219523925,Hydrogenobacter,2,13,2,4.80219523925,1.74847717745357,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter
29,cv88,alkyl_hydroperoxide_reductase_subunit_C_ahp,2.00427456568,Persephonella,1,2,1,2.00427456568,1.12958435619715,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Persephonella
302,lvp4,Periplasmic_nitrate_reductase_napABCDFGH,55.2929919015,Persephonella,2,19,2,55.2929919015,5.93301035881916,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Persephonella
1,cv88,Periplasmic_nitrate_reductase_napABCDFGH,0,Sulfurihydrogenibium,1,19,1,0,0,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Sulfurihydrogenibium
4532,lvp4,Methylmalonyl_CoA_mutase_mcm,39.2527263035,Acetobacteroides,2,17,2,39.2527263035,4.99890604874118,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Williamwhitmaniaceae,Acetobacteroides
5671,lvp4,Pyruvate_ferredoxin_oxidoreductase_pfor,9.0281270498,Acetobacteroides,2,21,2,9.0281270498,2.39739112106249,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Williamwhitmaniaceae,Acetobacteroides
5795,lvp4,TypeIV_hydrogenase_hyfBEF,23.6624297676,Acetobacteroides,2,28,2,23.6624297676,3.88123313552708,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Williamwhitmaniaceae,Acetobacteroides
2092,lvp4,L_lactate_dehydrogenase_complex_protein_LldEFG,48.9023548531,Algoriphagus,2,15,2,48.9023548531,5.57962418222045,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus
4636,lvp4,Methylmalonyl_CoA_mutase_mcm,18.5002603479,Alistipes,2,17,2,18.5002603479,3.43185540654339,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
952,cv88,alkyl_hydroperoxide_reductase_subunit_C_ahp,2.11719144262,Chlorobium,1,2,1,2.11719144262,1.16096767149621,Bacteria,Bacteroidota,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium
2742,lvp4,L_lactate_dehydrogenase_complex_protein_LldEFG,80.0882238288,Flammeovirga,2,15,2,80.0882238288,7.14043043683044,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Flammeovirgaceae,Flammeovirga
3392,lvp4,L_lactate_dehydrogenase_complex_protein_LldEFG,50.3895463244,Flexithrix,2,15,2,50.3895463244,5.66383099242423,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Flammeovirgaceae,Flexithrix
5775,lvp4,Two_oxoglutarate_ferredoxin_oxidoreductase_korABGD,22.228343115,Lentimicrobium,2,27,2,22.228343115,3.76178185624576,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium
5691,lvp4,Sulfide_quinone_oxidoreductase_sqr,6.68750151837,Lutibacter,2,22,2,6.68750151837,2.0633457524934,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutibacter
8186,cv88,Cytochrome_c_oxidase_cbb3_type,374.094850345128,Arcobacter,1,7,1,374.094850345128,19.3198755305363,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
