tag,Kingdom,Phylum,Class,Order,Family,Genus
tag596,Bacteria,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Unclassified Acholeplasmataceae
tag605,Archaea,Thermoproteota,Thermoprotei,Acidilobales,Caldisphaeraceae,Unclassified Caldisphaeraceae
tag487,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Unclassified Acidimicrobiales,Unclassified Acidimicrobiales
tag704,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Unclassified Acidimicrobiaceae
tag481,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Thermithiobacillaceae,Thermithiobacillus
tag502,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus
tag597,Bacteria,Acidobacteriota,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Unclassified Acidobacteriaceae
tag486,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,Trueperella
tag329,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas
tag598,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Unclassified Aeromonadaceae
tag747,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
tag25,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
tag29,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Unclassified Alteromonadales,Unclassified Alteromonadales
tag38,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Unclassified Colwelliaceae
tag55,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter
tag133,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
tag134,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinimicrobium
tag142,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Melitea
tag166,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Haliea
tag199,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Pseudoteredinibacter
tag226,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Dasania
tag231,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassomonas
tag242,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Maricurvus
tag322,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Microbulbifer
tag366,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Algicola
tag384,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Porticoccus
tag475,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Pseudidiomarina
tag503,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter
tag532,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas
tag589,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Teredinibacter
tag619,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Unclassified Psychromonadaceae
tag664,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia
tag674,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
tag676,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas
tag755,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Eionea
tag797,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Unclassified Alteromonadaceae
tag809,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina
tag223,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
tag348,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Levilinea
tag378,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea
tag544,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Leptolinea
tag791,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Unclassified Anaerolineaceae
tag40,Bacteria,Aquificota,Aquificae,Aquificales,Desulfurobacteriaceae,Desulfurobacterium
tag96,Bacteria,Aquificota,Aquificae,Aquificales,Hydrogenothermaceae,Unclassified Hydrogenothermaceae
tag157,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Aquifex
tag172,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Unclassified Aquificaceae
tag183,Bacteria,Aquificota,Aquificae,Aquificales,Hydrogenothermaceae,Persephonella
tag263,Bacteria,Aquificota,Aquificae,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium
tag30,Bacteria,Aquificota,Aquificia,Aquificales,Desulfurobacteriaceae,Unclassified Desulfurobacteriaceae
tag146,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
tag298,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Unclassified Archaeoglobaceae
tag43,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Unclassified Paenibacillaceae
tag52,Bacteria,Bacillota,Bacilli,Bacillales,Unclassified Bacillales,Unclassified Bacillales
tag179,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Unclassified Bacillaceae
tag195,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
tag214,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
tag222,Bacteria,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus
tag296,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
tag335,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Unclassified Planococcaceae
tag361,Bacteria,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Unclassified Thermoactinomycetaceae
tag409,Bacteria,Bacillota,Bacilli,Bacillales,Family XI Incertae Sedis,Gemella
tag458,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Geobacillus
tag514,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Cohnella
tag517,Bacteria,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Desmospora
tag542,Bacteria,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Laceyella
tag569,Bacteria,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Planifilum
tag591,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Thalassobacillus
tag599,Bacteria,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Unclassified Alicyclobacillaceae
tag686,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus
tag2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiaceae,Unclassified Marinilabiaceae
tag5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiaceae,Alkaliflexus
tag35,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Odoribacter
tag47,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
tag109,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,MgMjR-022,Bacteroidia
tag111,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
tag145,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Unclassified Porphyromonadaceae
tag176,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiaceae,Marinilabilia
tag198,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
tag245,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides
tag258,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter
tag339,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiaceae,Anaerophaga
tag344,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas
tag420,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,RF16,rumen bacterium YS3
tag507,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas
tag571,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Proteiniphilum
tag663,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiaceae,Marinifilum
tag687,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Unclassified Bacteroidales,Unclassified Bacteroidales
tag728,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Unclassified Rikenellaceae
tag766,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
tag779,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Unclassified Bacteroidaceae
tag425,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Unclassified Bdellovibrionaceae
